sample_id,overlap_level,ovr,ovr_source,pipeline,model,cer,wer,bert_precision,bert_recall,bert_f1,bert_f2,speaker_block_cer,speaker_consistency,trs_text,trs_speaker,runtime_seconds,error
sample2_no_overlap,none,0.0,config,direct_asr,whisper,0.0117096018735363,0.016194331983805668,0.9400585293769836,0.9277664422988892,0.9338720440864563,0.9301990755188267,,,95.88048887450302,,8.2167,
sample2_no_overlap,none,0.0,config,diarization_asr,whisper+pyannote+full_asr_align,0.0117096018735363,0.016194331983805668,0.9400585293769836,0.9277664422988892,0.9338720440864563,0.9301990755188267,0.0117096018735363,0.9882903981264637,95.88048887450302,96.8534328760092,12.2964,
sample2_no_overlap,none,0.0,config,diarization_turn_asr,whisper+pyannote+turn_asr,0.00936768149882904,0.012145748987854251,0.9661683440208435,0.9689496755599976,0.9675570130348206,0.968392128919787,0.00936768149882904,0.990632318501171,97.94491002038306,98.31627413431853,22.4321,
sample2_no_overlap,none,0.0,config,separation_asr,clearvoice+whisper,0.3442622950819672,0.3481781376518219,0.7660121321678162,0.7896376252174377,0.777645468711853,0.7847966554338789,0.3442622950819672,0.6557377049180328,71.73707254004445,69.62082287325507,33.7339,
sample2_no_overlap,none,0.0,config,llm_rag_refine,api_llm_refiner,0.7587822014051522,0.4008097165991903,0.7609459161758423,0.8272709250450134,0.7927235960960388,0.8130968155953235,,,44.28695337256615,,67.2525,
sample2_light_overlap,light,0.0304,config,direct_asr,whisper,0.0468384074941452,0.048582995951417005,0.9251595735549927,0.9044234752655029,0.9146739840507507,0.9084959969855586,,,93.05608476998961,,7.1962,
sample2_light_overlap,light,0.0304,config,diarization_asr,whisper+pyannote+full_asr_align,0.06323185011709602,0.06477732793522267,0.9251595735549927,0.9044234752655029,0.9146739840507507,0.9084959969855586,0.06323185011709602,0.936768149882904,92.2523774366919,92.72476689769476,11.948,
sample2_light_overlap,light,0.0304,config,diarization_turn_asr,whisper+pyannote+turn_asr,0.08430913348946135,0.08097165991902834,0.9237356185913086,0.9457401037216187,0.9346083998680115,0.9412557366701537,0.08430913348946135,0.9156908665105387,92.83853085435531,92.41343933709432,25.7039,
sample2_light_overlap,light,0.0304,config,separation_asr,clearvoice+whisper,0.5292740046838408,0.562753036437247,0.7418829798698425,0.78083336353302,0.760860025882721,0.772719490740404,0.5292740046838408,0.4707259953161592,60.31079102274918,55.52894349081543,32.5942,
sample2_light_overlap,light,0.0304,config,llm_rag_refine,api_llm_refiner,0.04449648711943794,0.044534412955465584,0.9547951817512512,0.9478364586830139,0.9513030648231506,0.9492200768184291,,,95.23566127752598,,86.2763,
sample2_mid_overlap,medium,0.0959,config,direct_asr,whisper,0.12177985948477751,0.13360323886639677,0.9054648876190186,0.8645601272583008,0.8845399022102356,0.8724427212560142,,,87.5326664310496,,6.9579,
sample2_mid_overlap,medium,0.0959,config,diarization_asr,whisper+pyannote+full_asr_align,0.12177985948477751,0.13360323886639677,0.9054648876190186,0.8645601272583008,0.8845399022102356,0.8724427212560142,0.12177985948477751,0.8782201405152225,87.5326664310496,87.62900955857769,11.1649,
sample2_mid_overlap,medium,0.0959,config,diarization_turn_asr,whisper+pyannote+turn_asr,0.24355971896955503,0.23481781376518218,0.8255260586738586,0.867079496383667,0.8457927107810974,0.8584374848614007,0.24355971896955503,0.7564402810304449,80.5826713565408,78.90163256491108,25.6818,
sample2_mid_overlap,medium,0.0959,config,separation_asr,clearvoice+whisper,0.639344262295082,0.6234817813765182,0.7447773218154907,0.7841336727142334,0.7639489769935608,0.7759331285816652,0.639344262295082,0.360655737704918,52.90035301378484,46.558966209446375,31.321,
sample2_mid_overlap,medium,0.0959,config,llm_rag_refine,api_llm_refiner,0.11943793911007025,0.12955465587044535,0.931193470954895,0.8972545862197876,0.9139090180397034,0.9038429965199735,,,89.21265895244673,,85.1271,
sample2_heavy_overlap,heavy,0.1572,config,direct_asr,whisper,0.1522248243559719,0.15384615384615385,0.8937299251556396,0.8467220067977905,0.8695911765098572,0.8557237852323816,,,85.17402082373209,,6.5765,
sample2_heavy_overlap,heavy,0.1572,config,diarization_asr,whisper+pyannote+full_asr_align,0.1522248243559719,0.15384615384615385,0.8937299251556396,0.8467220067977905,0.8695911765098572,0.8557237852323816,0.1522248243559719,0.8477751756440282,85.17402082373209,85.04164744885463,10.6253,
sample2_heavy_overlap,heavy,0.1572,config,diarization_turn_asr,whisper+pyannote+turn_asr,0.2927400468384075,0.27530364372469635,0.8240443468093872,0.8633005619049072,0.843215823173523,0.855152925839855,0.2927400468384075,0.7072599531615925,77.76987966272641,75.34723283792641,27.3782,
sample2_heavy_overlap,heavy,0.1572,config,separation_asr,clearvoice+whisper,0.7213114754098361,0.7246963562753036,0.7490503787994385,0.7896754741668701,0.7688266634941101,0.7812017066521113,0.7213114754098361,0.2786885245901639,46.65961326824248,39.294682621437246,29.5738,
sample2_heavy_overlap,heavy,0.1572,config,llm_rag_refine,api_llm_refiner,0.1522248243559719,0.15384615384615385,0.9164501428604126,0.875864565372467,0.895697832107544,0.8836915337014896,,,86.55470785572099,,74.6809,
